inspection_id,name,address,results,last_inspection_date,risk,lat,long,yelp_id,yelp_name,yelp_address,yelp_rating,yelp_is_closed,yelp_review_count,yelp_category
98522,"Chicken Works And Salad Co.","3658 W Irving Park Rd",Pass,2011-12-19,"Risk 1 (High)",41.95385814,-87.71999799,chicken-works-and-salad-company-chicago,"Chicken Works & Salad Company","3658 W Irving Park Rd",4.0,0,87,"Fast Food"
154521,"Scoops Ice Cream","1730 W Fullerton Ave",Pass,2010-09-23,"Risk 1 (High)",41.92521233,-87.67192543,scoops-ice-cream-chicago,"Scoop's Ice Cream","1730 W Fullerton Ave",2.5,0,16,"Ice Cream & Frozen Yogurt"
453242,"Downtown Dogs","804 N Rush St",Pass,2011-09-16,"Risk 1 (High)",41.89685832,-87.6258292,downtown-dogs-chicago,"Downtown Dogs","804 N Rush St",3.5,0,71,"Hot Dogs"
215312,"Mom's & Dad's Deli","6345 S Central Ave",Pass,2011-05-11,"Risk 2 (Medium)",41.77673389,-87.76152794,mom-and-dads-deli-chicago,"Mom & Dad's Deli","6345 S Central Ave",4.0,0,3,Delis
278065,"New Fue City","6954 W North Ave",Fail,2010-08-05,"Risk 1 (High)",41.90907575,-87.7993386,new-fue-city-restaurant-chicago,"New Fue City Restaurant","6954 W North Ave",1.5,0,7,Chinese
529302,"No. 1 China Express","4248 S Wentworth Ave",Pass,2011-09-15,"Risk 1 (High)",41.81683377,-87.63134627,no-1-china-express-chicago,"No.1 China Express","4248 S Wentworth Ave",4.5,0,8,Chinese
353331,"Jesse's Mexican Grill","6950 N Western Ave",Pass,2011-04-14,"Risk 1 (High)",42.00833901,-87.69030024,jesses-mexican-grill-chicago,"Jesse's Mexican Grill","6950 N Western Ave",3.5,0,39,Mexican
580089,"Handlebar Chicago","2311 W North Ave",Fail,2012-05-02,"Risk 1 (High)",41.91024031,-87.6852601,handlebar-chicago,Handlebar,"2311 W North Ave",4.0,0,704,Vegetarian
586134,Piece,"1927 W North Ave",Pass,2011-08-03,"Risk 1 (High)",41.91039719,-87.6761811,piece-brewery-and-pizzeria-chicago,"Piece Brewery and Pizzeria","1927 W North Ave",4.0,0,1486,Pizza
1206235,"The Frontier","1072 N Milwaukee Ave",Fail,2012-06-01,"Risk 1 (High)",41.90128364,-87.66348362,frontier-chicago-2,Frontier,"1072 N Milwaukee Ave",3.0,0,287,"American (New)"
284598,"Argo Tea","3135 N Broadway St","Pass w/ Conditions",2010-08-20,"Risk 2 (Medium)",41.938653,-87.64420514,argo-tea-chicago-2,"Argo Tea","3135 N Broadway St",4.0,0,121,"Coffee & Tea"
124396,"Lucky Grill","7779 W Talcott Ave",Pass,2012-03-06,"Risk 1 (High)",41.99299042,-87.82167425,lucky-grill-chicago-2,"Lucky Grill","7779 W Talcott Ave",4.0,0,18,Diners
409252,"Garland Office","111 N Wabash Ave",Fail,2011-08-11,"Risk 1 (High)",41.88352649,-87.6260822,deborah-beaty-dds-chicago,"Deborah Beaty, DDS","111 N Wabash Ave",4.5,0,11,"General Dentistry"
88298,"Everyday Thai","1509 W Devon Ave",Pass,2011-01-13,"Risk 1 (High)",41.99799565,-87.66822426,everyday-thai-chicago,"Everyday Thai","1509 W Devon Ave",3.5,0,34,Thai
413440,"Golden Gate","3817 S Kedzie Ave",Fail,2011-11-03,"Risk 1 (High)",41.82381862,-87.70428542,golden-gate-restaurant-chicago-2,"Golden Gate Restaurant","3817 S Kedzie Ave",3.5,0,3,Chinese
1227343,"Bree's Thai Rice & Noodle","5306 S Central Ave",Pass,2012-05-31,"Risk 1 (High)",41.79617425,-87.76257753,bree-thai-restaurant-chicago,"Bree Thai Restaurant","5306 S Central Ave",4.5,0,22,Thai
277899,"O'donnells","4500 N Elston Ave",Pass,2011-09-12,"Risk 2 (Medium)",41.96246973,-87.73215028,o-donnells-chicago,"O'Donnell's","4500 N Elston Ave",4.5,0,4,"Sports Bars"
491218,"See Thru Chinese Kitchen","4318 S Ashland Ave",Pass,2012-01-05,"Risk 1 (High)",41.81527156,-87.66528691,see-thru-chinese-kitchen-chicago-3,"See Thru Chinese Kitchen","4318 S Ashland Ave",3.5,0,10,Chinese
197506,"Toro Sushi Express","201 N Clark St",Pass,2011-05-13,"Risk 1 (High)",41.88577122,-87.63082982,toro-sushi-express-chicago,"Toro Sushi Express","201 N Clark St",3.5,0,28,"Sushi Bars"
604289,"Boutique Bites","5717 N Elston Ave",Pass,2011-06-28,"Risk 1 (High)",41.98541778,-87.7688481,boutique-bites-chicago,"Boutique Bites","5717 N Elston Ave",5.0,0,1,Food
120358,"Mannys Coffee Shop","1141 S Jefferson St",Pass,2012-04-18,"Risk 1 (High)",41.8677288,-87.64205883,mannys-coffee-shop-and-deli-chicago,"Manny's Coffee Shop & Deli","1141 S Jefferson St",4.0,0,403,Delis
229305,"Greek Islands Restaurant","200 S Halsted St",Pass,2011-06-08,"Risk 1 (High)",41.87918309,-87.64742623,greek-islands-restaurant-chicago,"Greek Islands Restaurant","200 S Halsted St",4.0,0,643,Greek
413616,"Euro Cafe'","3435 N Harlem Ave",Pass,2011-07-20,"Risk 1 (High)",41.94268079,-87.80676794,euro-cafe-chicago,"Euro Cafe","3435 N Harlem Ave",4.0,1,1,"Coffee & Tea"
250333,"Chen's Garden","4445 N Pulaski Rd",Fail,2012-01-18,"Risk 1 (High)",41.96223481,-87.72771372,chens-garden-chicago,"Chen's Garden","4445 N Pulaski Rd",3.0,0,13,Chinese
1214687,"Output Lounge & Sports Bar","1758 W Grand Ave",Fail,2012-05-07,"Risk 1 (High)",41.8910139,-87.6719848,output-lounge-chicago,"Output Lounge","1758 W Grand Ave",2.5,0,23,"Sports Bars"
197448,"Maxim's Restaurant","20 N Clark St","Pass w/ Conditions",2010-05-24,"Risk 1 (High)",41.88243401,-87.63103701,maxims-restaurant-chicago,"Maxim's Restaurant","20 N Clark St",3.0,0,42,Diners
114354,"Naha Restaurant","500 N Clark St",Pass,2012-06-14,"Risk 1 (High)",41.89086224,-87.63125333,naha-chicago,Naha,"500 N Clark St",3.5,0,374,"American (New)"
335314,"See Thru Chinese Kitchen","7613 S Jeffery Blvd",Pass,2011-08-09,"Risk 1 (High)",41.75663165,-87.57594788,see-thru-chinese-kitchen-chicago-10,"See Thru Chinese Kitchen","7613 S Jeffery Blvd",4.0,0,4,Chinese
635013,"Sushi Usagi Ya","1178 N Milwaukee Ave","Pass w/ Conditions",2012-05-04,"Risk 1 (High)",41.90311912,-87.66633653,usagi-ya-chicago,"Usagi Ya","1178 N Milwaukee Ave",3.5,0,228,"Sushi Bars"
277575,"Side Bar Cafe'","910 W Buena Ave","Pass w/ Conditions",2010-07-20,"Risk 1 (High)",41.9585509,-87.65352005,bar-on-buena-chicago,"Bar on Buena","910 W Buena Ave",4.0,0,304,"American (Traditional)"
114378,Elate,"111 W Huron St",Pass,2011-11-25,"Risk 1 (High)",41.894716,-87.63171614,elate-chicago,Elate,"111 W Huron St",3.5,0,221,"American (New)"
176542,"Azteca De Oro Mexican Grill","3731 N Clark St",Fail,2011-08-19,"Risk 1 (High)",41.94980428,-87.65843709,azteca-de-oro-mexican-grill-chicago,"Azteca de Oro Mexican Grill","3731 N Clark St",4.0,0,143,Mexican
417214,"Simply Soup, Salad And Sandwiches","635 E 47th St",Fail,2011-11-29,"Risk 2 (Medium)",41.80937219,-87.6101459,simply-soups-salads-and-sandwiches-chicago-2,"Simply Soups, Salads & Sandwiches","635 E 47th St",3.5,0,11,Sandwiches
567566,Henri,"18 S Michigan Ave",Pass,2011-08-18,"Risk 1 (High)",41.88165874,-87.6245001,henri-chicago,Henri,"18 S Michigan Ave",4.5,0,159,"American (New)"
114630,"Jake Melnick's Corner Tap","41 E Superior St",Pass,2011-12-02,"Risk 1 (High)",41.8955931,-87.62658249,jake-melnicks-corner-tap-chicago-2,"Jake Melnick's Corner Tap","41 E Superior St",3.5,0,303,"Sports Bars"
1196304,"Joie De Vine","1744 W Balmoral Ave",Fail,2012-05-22,"Risk 2 (Medium)",41.97986594,-87.67390933,joie-de-vine-chicago,"Joie De Vine","1744 W Balmoral Ave",4.0,0,49,Bars
635103,"Sterling Goss Limited","1845 N Oakley Ave",Pass,2011-10-27,"Risk 2 (Medium)",41.91537965,-87.68473894,sterling-goss-purveyors-chicago,"Sterling Goss Purveyors","1845 N Oakley Ave",4.0,0,40,"Meat Shops"
419982,"New York Deli","2921 N Clark St",Fail,2010-10-26,"Risk 1 (High)",41.93545292,-87.64686342,new-york-deli-chicago,"New York Deli","2921 N Clark St",4.5,0,159,Delis
154616,"The Counter-custom Built","666 W Diversey Pkwy",Pass,2010-11-09,"Risk 1 (High)",41.93288705,-87.64611922,the-counter-chicago-2,"The Counter","666 W Diversey Pkwy",3.5,0,632,Burgers
381364,Subway,"816 N State St",Fail,2011-04-28,"Risk 1 (High)",41.89726884,-87.62836235,subway-chicago-167,Subway,"816 N State St",1.5,0,3,Sandwiches
585320,"Burger King","2344 W Chicago Ave",Pass,2011-06-10,"Risk 2 (Medium)",41.89586332,-87.68619201,burger-king-chicago-9,"Burger King","2344 W Chicago Ave",2.5,0,13,"Fast Food"
413554,"Azucar Bar & Grill","2647 N Kedzie Ave",Pass,2011-04-08,"Risk 1 (High)",41.92982552,-87.70722384,azucar-tapas-restaurant-and-cocktail-bar-chicago,"Azucar Tapas Restaurant and Cocktail Bar","2647 N Kedzie Ave",3.5,0,162,"Tapas Bars"
311208,"South Bar & Grill","720 S Michigan Ave",Pass,2011-12-01,"Risk 1 (High)",41.87279887,-87.62433781,720-south-bar-and-grill-chicago,"720 South Bar and Grill","720 S Michigan Ave",3.0,0,1,Bars
453236,"437 Rush","437 N Rush St",Fail,2011-11-14,"Risk 1 (High)",41.89037214,-87.62518149,437-rush-restaurant-chicago,"437 Rush Restaurant","437 N Rush St",3.5,0,107,Italian
679618,"Jin Ju","5203 N Clark St",Fail,2012-03-19,"Risk 1 (High)",41.97630115,-87.66827594,jin-ju-chicago,"Jin Ju","5203 N Clark St",4.0,0,187,Korean
112328,"Lou Malnati's Pizzeria","805 S State St",Pass,2011-06-17,"Risk 1 (High)",41.87169869,-87.62737565,lou-malnatis-pizzeria-chicago-9,"Lou Malnati's Pizzeria","805 S State St",4.0,0,342,Pizza
679900,"Baba Pita Palace","334 W Chicago Ave",Pass,2012-04-13,"Risk 1 (High)",41.89666242,-87.63710138,baba-palace-chicago,"Baba Palace","334 W Chicago Ave",3.0,0,85,Indian
519385,"Big Chicks","5024 N Sheridan Rd",Pass,2012-02-08,"Risk 1 (High)",41.97406912,-87.65509449,big-chicks-chicago,"Big Chicks","5024 N Sheridan Rd",4.5,0,152,"Gay Bars"
233602,"The Hearty Boys Caterers","3819 N Broadway St",Pass,2012-05-04,"Risk 1 (High)",41.95180076,-87.64947748,hearty-boys-caterers-chicago,"Hearty Boys Caterers","3819 N Broadway St",4.0,0,40,Caterers
521377,"Corner 41 Bar & Grill","4138 N Lincoln Ave",Pass,2012-05-21,"Risk 1 (High)",41.95692025,-87.68086072,corner-41-chicago,"Corner 41","4138 N Lincoln Ave",3.0,0,72,Bars
413763,"Hachi's Kitchen","2521 N California Ave",Pass,2011-06-03,"Risk 1 (High)",41.92727246,-87.69733527,hachis-kitchen-chicago,"Hachi's Kitchen","2521 N California Ave",4.0,0,266,"Sushi Bars"
154408,"Sarks In The Park","444 W Fullerton Pkwy",Pass,2010-07-07,"Risk 3 (Low)",41.92568726,-87.64095824,sarks-in-the-park-chicago-2,"Sarks in the Park","444 W Fullerton Pkwy",3.0,0,99,"Breakfast & Brunch"
120561,"S & S Restaurant","823 W Randolph St",Fail,2010-09-13,"Risk 1 (High)",41.88428084,-87.64845424,s-and-s-restaurant-chicago,"S & S Restaurant","823 W Randolph St",3.5,1,8,"Breakfast & Brunch"
596364,"Hyderabad House","2225 W Devon Ave","Pass w/ Conditions",2011-08-03,"Risk 1 (High)",41.99768843,-87.68600797,hyderabad-house-chicago,"Hyderabad House","2225 W Devon Ave",4.0,0,16,Indian
154542,"Jaimitos Burritos","1781 N Clybourn Ave","Pass w/ Conditions",2012-03-13,"Risk 1 (High)",41.91352239,-87.65294009,jaimitos-burritos-chicago-2,"Jaimitos Burritos","1781 N Clybourn Ave",3.0,0,64,Mexican
557659,"Michael's On Main Cafe","8430 W Bryn Mawr Ave",Pass,2011-12-14,"Risk 1 (High)",41.98121021,-87.83801332,michaels-on-main-cafe-chicago,"Michael's On Main Cafe","8430 W Bryn Mawr Ave",2.5,0,5,Cafes
381210,"Nabo's","3351 N Broadway St",Fail,2010-09-14,"Risk 1 (High)",41.94334006,-87.64466387,nabos-chicago,"Nabo's","3351 N Broadway St",3.0,1,66,Sandwiches
205303,"Max Orient","520 N Michigan Ave",Pass,2010-04-15,"Risk 1 (High)",41.89168852,-87.62430718,max-orient-chicago,"Max Orient","520 N Michigan Ave",3.0,0,7,Chinese
277109,Ipsento,"2035 N Western Ave",Pass,2012-01-31,"Risk 2 (Medium)",41.91857464,-87.68729593,ipsento-chicago,Ipsento,"2035 N Western Ave",4.5,0,268,"Coffee & Tea"
659602,"Joey's Shrimp House","1432 N Western Ave",Pass,2012-06-13,"Risk 2 (Medium)",41.90766196,-87.68729713,joeys-shrimp-house-chicago,"Joey's Shrimp House","1432 N Western Ave",3.5,0,50,Seafood
229393,"Jamba Juice","500 W Madison St","Pass w/ Conditions",2010-05-05,"Risk 2 (Medium)",41.88199434,-87.63975868,jamba-juice-chicago-5,"Jamba Juice","500 W Madison St",2.5,0,10,Restaurants
381214,"Hiro's Cafe","2936 N Broadway St",Fail,2010-10-20,"Risk 1 (High)",41.93598926,-87.64440859,hiros-cafe-chicago,"Hiro's Cafe","2936 N Broadway St",3.5,0,94,Japanese
413525,"Taqueria Villa","3139 W 63rd St",Pass,2012-06-25,"Risk 1 (High)",41.77887569,-87.70222876,tacos-villa-chicago,"Tacos Villa","3139 W 63rd St",4.5,0,4,Mexican
580607,Chilapan,"2459 W Armitage Ave",Pass,2011-04-27,"Risk 1 (High)",41.91744466,-87.68979178,chilapan-chicago,Chilapan,"2459 W Armitage Ave",4.0,0,188,Mexican
343229,Pockets,"329 S Franklin St",Pass,2011-11-23,"Risk 1 (High)",41.87739707,-87.63504341,pockets-chicago,Pockets,"329 S Franklin St",4.0,0,35,Sandwiches
413858,"T R's Pub","3908 W 111th St",Pass,2011-12-02,"Risk 2 (Medium)",41.69140619,-87.71830608,t-rs-pub-chicago,"T R's Pub","3908 W 111th St",4.0,0,1,
284374,"Cozy Corner","2294 N Milwaukee Ave",Pass,2012-01-10,"Risk 1 (High)",41.92259747,-87.69709763,cozy-corner-diner-and-pancake-house-chicago,"Cozy Corner Diner & Pancake House","2294 N Milwaukee Ave",4.0,0,256,Diners
229459,"Jamba Juice","225 S Canal St",Pass,2011-05-02,"Risk 2 (Medium)",41.87853128,-87.63942746,jamba-juice-chicago-3,"Jamba Juice","225 S Canal St",3.5,0,3,"Juice Bars & Smoothies"
413832,"Big Top Restaurant","6348 W Higgins Ave",Pass,2012-02-29,"Risk 1 (High)",41.97612328,-87.78699375,big-top-restaurant-chicago,"Big Top Restaurant","6348 W Higgins Ave",3.5,0,27,Diners
521437,"Tre Kronor Restaurant","3258 W Foster Ave","Pass w/ Conditions",2012-04-11,"Risk 1 (High)",41.97583113,-87.71106023,tre-kronor-chicago,"Tre Kronor","3258 W Foster Ave",4.0,0,321,"Breakfast & Brunch"
68197,"Lee's Wok","1437 W Montrose Ave","Pass w/ Conditions",2010-02-08,"Risk 1 (High)",41.96151913,-87.66641968,lees-wok-chicago,"Lee's Wok","1437 W Montrose Ave",3.0,0,20,Chinese
164305,"Panda Express","1654 W 119th St",Pass,2012-03-01,"Risk 1 (High)",41.67761706,-87.66311315,panda-express-chicago-17,"Panda Express","1654 W 119th St",5.0,0,1,
579728,"The Brown Sack","3581 W Belden Ave",Pass,2011-03-14,"Risk 1 (High)",41.92266507,-87.71685582,the-brown-sack-chicago,"The Brown Sack","3581 W Belden Ave",4.0,0,190,Sandwiches
579284,"La Cebollita Restaurant","4343 W 47th St",Pass,2011-02-22,"Risk 1 (High)",41.80764585,-87.73272528,la-cebollita-chicago-2,"La Cebollita","4343 W 47th St",4.5,0,8,Mexican
565486,Avec,"615 W Randolph St",Pass,2011-09-06,"Risk 1 (High)",41.88432104,-87.64342475,avec-chicago,Avec,"615 W Randolph St",4.5,0,878,French
585409,"Coco Restaurant","2723 W Division St",Fail,2012-03-06,"Risk 1 (High)",41.9028285,-87.69537805,coco-chicago-2,Coco,"2723 W Division St",3.0,0,119,"Latin American"
580348,"La Flor De Acapulco","6021 W Grand Ave","Pass w/ Conditions",2011-04-13,"Risk 1 (High)",41.92061916,-87.77654921,la-flor-de-acapulco-chicago,"La Flor De Acapulco","6021 W Grand Ave",4.0,0,2,Mexican
343212,"Taco Bell","500 W Madison St",Pass,2012-03-07,"Risk 1 (High)",41.88199434,-87.63975868,taco-bell-chicago-17,"Taco Bell","500 W Madison St",4.0,0,12,"Fast Food"
453297,"The Allerton Hotel","701 N Michigan Ave",Fail,2012-03-12,"Risk 1 (High)",41.89498361,-87.6241062,the-allerton-hotel-chicago,"The Allerton Hotel","701 N Michigan Ave",3.5,0,129,Hotels
545335,"Nicky's Chinese Food","5231 S Woodlawn Ave",Fail,2012-02-03,"Risk 1 (High)",41.79995223,-87.59650592,nickys-chinese-food-chicago,"Nicky's Chinese Food","5231 S Woodlawn Ave",2.0,0,40,Chinese
67987,"S & G Grill","3000 N Lincoln Ave","Pass w/ Conditions",2010-01-22,"Risk 1 (High)",41.93612294,-87.66391411,sam-and-georges-chicago,"Sam & George's","3000 N Lincoln Ave",4.0,0,201,"Breakfast & Brunch"
606519,"Dunkin Donuts","120 W 87th St",Fail,2012-01-06,"Risk 2 (Medium)",41.7363802,-87.62769923,dunkin-donuts-inc-chicago,"Dunkin Donuts Inc","120 W 87th St",3.0,0,2,Donuts
114513,"Erie Cafe","536 W Erie St",Pass,2011-03-18,"Risk 1 (High)",41.89399188,-87.64284995,erie-street-cafe-chicago,"Erie Street Cafe","536 W Erie St",3.5,0,102,Steakhouses
284669,"Las Mananitas","3523 N Halsted St",Fail,2011-08-02,"Risk 1 (High)",41.94620129,-87.64930463,las-mananitas-mexican-restaurant-chicago,"Las Mananitas Mexican Restaurant","3523 N Halsted St",3.5,0,152,Mexican
278091,"Mac's American Food","1801 W Division St",Pass,2012-05-30,"Risk 1 (High)",41.90315615,-87.67242232,macs-american-pub-chicago,"Mac's American Pub","1801 W Division St",2.5,0,129,Bars
670279,"Domino's Pizza","2455 W Fullerton Ave",Fail,2012-02-06,"Risk 2 (Medium)",41.92476862,-87.68987136,dominos-pizza-chicago-12,"Domino's Pizza","2455 W Fullerton Ave",2.0,0,19,Pizza
1196319,"Cinnamon Cafe","1968 W Lawrence Ave",Pass,2012-05-16,"Risk 1 (High)",41.96886998,-87.6788772,"cinnamon-café-chicago-4","Cinnamon Café","1968 W Lawrence Ave",3.5,0,58,"Breakfast & Brunch"
154495,"Duffy's Tavern & Grille","420 W Diversey Pkwy",Fail,2010-09-08,"Risk 1 (High)",41.9330041,-87.64018629,duffys-tavern-and-grille-chicago,"Duffy's Tavern and Grille","420 W Diversey Pkwy",2.5,0,309,"Sports Bars"
233500,"Tores Italian Beef","2804 N Western Ave",Pass,2010-05-04,"Risk 1 (High)",41.93221699,-87.68803328,tores-italian-beef-and-pizza-chicago,"Tore's Italian Beef & Pizza","2804 N Western Ave",4.0,1,31,Italian
580695,"Bismillah Restaurant","6301 N Ridge Ave",Pass,2011-05-03,"Risk 1 (High)",41.99564933,-87.67559802,bismillah-restaurant-chicago,"Bismillah Restaurant","6301 N Ridge Ave",4.0,0,44,Indian
490942,"Cuetzala Gro. Restaurant","7360 N Clark St",Pass,2011-01-05,"Risk 1 (High)",42.01548128,-87.67526203,restaurante-cuetzala-gro-chicago,"Restaurante Cuetzala Gro","7360 N Clark St",4.0,0,40,Mexican
67868,"Cheesies Pub & Grub","958 W Belmont Ave","Pass w/ Conditions",2010-01-13,"Risk 1 (High)",41.94002724,-87.65373273,cheesies-pub-and-grub-chicago,"Cheesie's Pub & Grub","958 W Belmont Ave",3.5,0,309,Sandwiches
465374,"Amelia's Authentic Mexican Cuisine","4559 S Halsted St","Pass w/ Conditions",2011-03-24,"Risk 1 (High)",41.8107813,-87.6454403,amelias-bar-and-grill-chicago,"Amelia's Bar & Grill","4559 S Halsted St",4.5,0,103,"Latin American"
670571,"Golden Nugget","1765 W Lawrence Ave",Pass,2012-02-16,"Risk 1 (High)",41.96871895,-87.67359188,golden-nugget-pancake-house-chicago-3,"Golden Nugget Pancake House","1765 W Lawrence Ave",3.5,0,109,"Breakfast & Brunch"
277401,"7d Restaurant","1317 N Milwaukee Ave",Pass,2010-07-14,"Risk 2 (Medium)",41.90570563,-87.66992733,falafel-and-grill-chicago,"Falafel & Grill","1317 N Milwaukee Ave",4.5,0,55,"Middle Eastern"
598211,"Perez Restaurant","1163 W 18th St",Pass,2011-05-11,"Risk 1 (High)",41.8578563,-87.6556769,perez-restaurant-chicago-2,"Perez Restaurant","1163 W 18th St",3.5,0,58,Mexican
229435,"Kelly's Cajun Grill","225 S Canal St",Pass,2011-07-27,"Risk 1 (High)",41.87853128,-87.63942746,cajun-grill-at-union-station-chicago,"Cajun Grill At Union Station","225 S Canal St",2.0,0,16,Chinese
205228,"West Egg Cafe","620 N Fairbanks Ct",Pass,2012-01-24,"Risk 1 (High)",41.8933654,-87.62042206,west-egg-cafe-chicago-2,"West Egg Cafe","620 N Fairbanks Ct",3.5,0,276,Sandwiches
579920,"Five Guys Burgers And Fries","6474 N Sheridan Rd",Pass,2011-03-23,"Risk 2 (Medium)",42.00035056,-87.66085542,five-guys-burgers-and-fries-chicago-3,"Five Guys Burgers & Fries","6474 N Sheridan Rd",3.0,0,120,"Fast Food"
114293,"Weber Grill Restaurant","539 N State St","Pass w/ Conditions",2012-03-13,"Risk 1 (High)",41.89200113,-87.62792896,weber-grill-restaurant-chicago,"Weber Grill Restaurant","539 N State St",3.5,0,520,Barbeque
419382,Subway,"3346 W Foster Ave",Fail,2011-03-11,"Risk 1 (High)",41.97580851,-87.71302648,subway-chicago-107,Subway,"3346 W Foster Ave",2.5,0,2,Sandwiches
166211,"Manolos Tamales","4706 W 63rd St",Pass,2011-03-04,"Risk 1 (High)",41.77856521,-87.7401305,manolos-tamales-chicago,"Manolo's Tamales","4706 W 63rd St",4.0,0,9,Mexican
598212,"Caire's Pizza","1165 W 18th St",Pass,2012-04-27,"Risk 1 (High)",41.8578549,-87.65576067,caires-pizza-chicago,"Caire's Pizza","1165 W 18th St",4.5,0,5,Pizza
